country,Year,Hours worked per year (hours/year)
AUT,1995,1653.0
AUT,1996,1683.0
AUT,1997,1691.0
AUT,1998,1671.0
AUT,1999,1675.0
AUT,2000,1675.0
AUT,2001,1663.0
AUT,2002,1661.0
AUT,2003,1652.0
AUT,2004,1655.0
AUT,2005,1632.0
AUT,2006,1617.0
AUT,2007,1606.0
AUT,2008,1599.0
AUT,2009,1558.0
AUT,2010,1552.0
AUT,2011,1557.0
AUT,2012,1535.0
AUT,2013,1520.0
AUT,2014,1510.0
AUT,2015,1495.0
AUT,2016,1507.0
AUT,2017,1498.0
AUT,2018,1502.0
AUT,2019,1509.0
AUT,2020,1400.0
BEL,1970,1883.2
BEL,1971,1873.4
BEL,1972,1847.5
BEL,1973,1820.1
BEL,1974,1791.9
BEL,1975,1782.7
BEL,1976,1785.5
BEL,1977,1759.8
BEL,1978,1743.0
BEL,1979,1726.6
BEL,1980,1706.5
BEL,1981,1683.4
BEL,1982,1669.0
BEL,1983,1674.9
BEL,1984,1699.0
BEL,1985,1705.0
BEL,1986,1685.0
BEL,1987,1669.9
BEL,1988,1657.9
BEL,1989,1648.9
BEL,1990,1662.9
BEL,1991,1625.8
BEL,1992,1602.7
BEL,1993,1558.6
BEL,1994,1558.6
BEL,1995,1578.0
BEL,1996,1575.0
BEL,1997,1582.0
BEL,1998,1574.0
BEL,1999,1575.0
BEL,2000,1589.0
BEL,2001,1581.0
BEL,2002,1594.0
BEL,2003,1598.0
BEL,2004,1588.0
BEL,2005,1578.0
BEL,2006,1592.0
BEL,2007,1594.0
BEL,2008,1582.0
BEL,2009,1563.0
BEL,2010,1574.0
BEL,2011,1590.0
BEL,2012,1587.0
BEL,2013,1586.0
BEL,2014,1582.0
BEL,2015,1575.0
BEL,2016,1574.0
BEL,2017,1578.0
BEL,2018,1580.0
BEL,2019,1576.0
BEL,2020,1481.0
CZE,1993,1857.0
CZE,1994,1839.0
CZE,1995,1832.0
CZE,1996,1829.0
CZE,1997,1838.0
CZE,1998,1861.0
CZE,1999,1891.0
CZE,2000,1900.0
CZE,2001,1823.0
CZE,2002,1812.0
CZE,2003,1799.0
CZE,2004,1814.0
CZE,2005,1803.0
CZE,2006,1789.0
CZE,2007,1775.0
CZE,2008,1790.0
CZE,2009,1779.0
CZE,2010,1799.0
CZE,2011,1805.0
CZE,2012,1776.0
CZE,2013,1764.0
CZE,2014,1774.0
CZE,2015,1751.0
CZE,2016,1774.0
CZE,2017,1776.0
CZE,2018,1785.0
CZE,2019,1784.0
CZE,2020,1705.0
DNK,1970,1845.0
DNK,1971,1810.0
DNK,1972,1752.0
DNK,1973,1710.0
DNK,1974,1691.0
DNK,1975,1617.0
DNK,1976,1624.0
DNK,1977,1598.0
DNK,1978,1575.0
DNK,1979,1564.0
DNK,1980,1577.0
DNK,1981,1546.0
DNK,1982,1553.0
DNK,1983,1546.0
DNK,1984,1541.0
DNK,1985,1527.0
DNK,1986,1531.0
DNK,1987,1493.0
DNK,1988,1471.0
DNK,1989,1455.0
DNK,1990,1441.0
DNK,1991,1437.0
DNK,1992,1452.0
DNK,1993,1449.0
DNK,1994,1407.0
DNK,1995,1419.0
DNK,1996,1412.0
DNK,1997,1428.0
DNK,1998,1441.0
DNK,1999,1456.0
DNK,2000,1466.0
DNK,2001,1469.0
DNK,2002,1463.0
DNK,2003,1458.0
DNK,2004,1458.0
DNK,2005,1451.0
DNK,2006,1456.0
DNK,2007,1433.0
DNK,2008,1430.0
DNK,2009,1417.0
DNK,2010,1422.0
DNK,2011,1437.0
DNK,2012,1423.0
DNK,2013,1426.0
DNK,2014,1414.0
DNK,2015,1407.0
DNK,2016,1412.0
DNK,2017,1404.0
DNK,2018,1381.0
DNK,2019,1381.0
DNK,2020,1346.0
FIN,1960,1967.0
FIN,1961,1966.0
FIN,1962,1959.0
FIN,1963,1956.0
FIN,1964,1980.0
FIN,1965,1980.0
FIN,1966,1957.0
FIN,1967,1940.0
FIN,1968,1925.0
FIN,1969,1907.0
FIN,1970,1918.0
FIN,1971,1884.0
FIN,1972,1869.0
FIN,1973,1853.0
FIN,1974,1848.0
FIN,1975,1779.0
FIN,1976,1776.0
FIN,1977,1769.0
FIN,1978,1774.0
FIN,1979,1751.0
FIN,1980,1732.0
FIN,1981,1726.0
FIN,1982,1719.0
FIN,1983,1709.0
FIN,1984,1705.0
FIN,1985,1699.0
FIN,1986,1683.0
FIN,1987,1690.0
FIN,1988,1694.0
FIN,1989,1694.0
FIN,1990,1671.0
FIN,1991,1652.0
FIN,1992,1652.0
FIN,1993,1651.0
FIN,1994,1671.0
FIN,1995,1677.0
FIN,1996,1675.0
FIN,1997,1671.0
FIN,1998,1661.0
FIN,1999,1661.0
FIN,2000,1650.0
FIN,2001,1636.0
FIN,2002,1628.0
FIN,2003,1623.0
FIN,2004,1624.0
FIN,2005,1613.0
FIN,2006,1608.0
FIN,2007,1605.0
FIN,2008,1601.0
FIN,2009,1580.0
FIN,2010,1585.0
FIN,2011,1578.0
FIN,2012,1568.0
FIN,2013,1560.0
FIN,2014,1558.0
FIN,2015,1555.0
FIN,2016,1555.0
FIN,2017,1549.0
FIN,2018,1546.0
FIN,2019,1539.0
FIN,2020,1531.0
FRA,1950,2351.0
FRA,1951,2360.0
FRA,1952,2339.0
FRA,1953,2313.0
FRA,1954,2316.0
FRA,1955,2292.0
FRA,1956,2236.0
FRA,1957,2200.0
FRA,1958,2179.0
FRA,1959,2179.0
FRA,1960,2188.0
FRA,1961,2165.0
FRA,1962,2178.0
FRA,1963,2159.0
FRA,1964,2166.0
FRA,1965,2153.0
FRA,1966,2145.0
FRA,1967,2110.0
FRA,1968,2087.0
FRA,1969,2012.0
FRA,1970,1993.0
FRA,1971,1990.0
FRA,1972,1937.0
FRA,1973,1920.0
FRA,1974,1888.0
FRA,1975,1863.0
FRA,1976,1889.0
FRA,1977,1850.0
FRA,1978,1819.0
FRA,1979,1816.0
FRA,1980,1806.0
FRA,1981,1786.0
FRA,1982,1714.0
FRA,1983,1696.0
FRA,1984,1690.0
FRA,1985,1654.0
FRA,1986,1648.0
FRA,1987,1659.0
FRA,1988,1667.0
FRA,1989,1651.0
FRA,1990,1645.0
FRA,1991,1638.0
FRA,1992,1635.0
FRA,1993,1627.0
FRA,1994,1623.0
FRA,1995,1601.0
FRA,1996,1597.0
FRA,1997,1596.0
FRA,1998,1585.0
FRA,1999,1578.0
FRA,2000,1558.0
FRA,2001,1538.0
FRA,2002,1504.0
FRA,2003,1507.0
FRA,2004,1531.0
FRA,2005,1532.0
FRA,2006,1515.0
FRA,2007,1537.0
FRA,2008,1543.0
FRA,2009,1531.0
FRA,2010,1540.0
FRA,2011,1546.0
FRA,2012,1541.0
FRA,2013,1526.0
FRA,2014,1518.0
FRA,2015,1519.0
FRA,2016,1522.0
FRA,2017,1508.0
FRA,2018,1514.0
FRA,2019,1511.0
FRA,2020,1402.0
DEU,1991,1554.1
DEU,1992,1565.1
DEU,1993,1540.2
DEU,1994,1536.6
DEU,1995,1530.6
DEU,1996,1516.8
DEU,1997,1507.7
DEU,1998,1504.5
DEU,1999,1491.5
DEU,2000,1465.9
DEU,2001,1458.2
DEU,2002,1448.9
DEU,2003,1443.4
DEU,2004,1442.6
DEU,2005,1432.4
DEU,2006,1453.2
DEU,2007,1454.1
DEU,2008,1447.3
DEU,2009,1405.0
DEU,2010,1425.7
DEU,2011,1426.9
DEU,2012,1408.0
DEU,2013,1396.5
DEU,2014,1400.4
DEU,2015,1401.0
DEU,2016,1395.6
DEU,2017,1389.1
DEU,2018,1386.9
DEU,2019,1382.8
DEU,2020,1331.7
