,country,Year,Poverty rate (no unit),GDP per hours worked (USD/hour),Income Inequality (no unit),Employment Rate (no unit),Hours worked per year (hours/year),Average Wage (USD)
0,AUS,2012,0.14,51.67034,0.326,72.34558,1771.0,53919.3282440152
1,AUS,2014,0.128,52.781785,0.337,71.56635,1755.0,54085.1342419058
2,AUS,2016,0.121,53.959369,0.33,72.4315,1739.0,53724.0891622131
3,AUS,2018,0.124,54.536922,0.325,73.76588,1733.0,53514.8272246821
4,CAN,1976,0.131,33.28053,0.303,63.075,1862.0,NaN
5,CAN,1977,0.139,34.204027,0.289,62.93333,1834.0,NaN
6,CAN,1978,0.132,34.456076,0.294,63.7,1836.0,NaN
7,CAN,1979,0.133,34.116931,0.289,65.38333,1841.0,NaN
8,CAN,1980,0.131,34.016491,0.289,66.13333,1827.0,NaN
9,CAN,1981,0.123,34.483961,0.288,67.0,1812.0,NaN
10,CAN,1982,0.125,34.95985,0.292,63.90833,1789.0,NaN
11,CAN,1983,0.132,35.772644,0.3,63.65833,1779.0,NaN
12,CAN,1984,0.133,36.744884,0.297,64.58334,1789.0,NaN
13,CAN,1985,0.124,37.074654,0.294,66.00833,1795.0,NaN
14,CAN,1986,0.119,36.758123,0.293,67.40833,1797.0,NaN
15,CAN,1987,0.12,36.928036,0.291,68.575,1807.0,NaN
16,CAN,1988,0.114,37.281976,0.286,69.98333,1808.0,NaN
17,CAN,1989,0.109,37.371447,0.284,70.76667,1802.0,NaN
18,CAN,1990,0.119,37.329579,0.289,70.35,1797.0,40070.4234264897
19,CAN,1991,0.118,37.657788,0.296,68.25833,1775.0,40221.3187766711
20,CAN,1992,0.121,38.428156,0.296,66.80833,1772.0,40808.7148909694
21,CAN,1993,0.119,39.205668,0.29,66.45834,1769.0,40720.3758753246
22,CAN,1994,0.117,39.985071,0.291,67.025,1778.0,40257.223428783
23,CAN,1995,0.118,40.473261,0.293,67.525,1775.0,40167.1383398384
24,CAN,1996,0.124,40.384258,0.301,67.35,1790.0,40523.5390768903
25,CAN,1997,0.125,41.11408,0.304,67.98333,1798.0,41764.1998253005
26,CAN,1998,0.124,41.878901,0.31,68.95,1794.0,42465.2090099545
27,CAN,1999,0.117,42.937024,0.308,69.98333,1793.0,42810.3140882822
28,CAN,2000,0.12,44.285388,0.315,70.9,1787.0,44108.2677087065
29,CAN,2001,0.117,44.991861,0.317,70.79166,1774.0,43927.0481011629
30,CAN,2002,0.123,45.721803,0.317,71.41666,1755.0,43561.0773058657
31,CAN,2003,0.124,45.835459,0.315,72.18333,1745.0,43579.8763181231
32,CAN,2004,0.129,46.221376,0.321,72.45,1755.0,44538.0386992806
33,CAN,2005,0.123,47.247735,0.315,72.44167,1745.0,45824.1689450769
34,CAN,2006,0.129,47.751732,0.316,72.70834,1744.0,47227.098079255
35,CAN,2007,0.129,47.748713,0.317,73.325,1744.0,48606.2354043073
36,CAN,2008,0.127,47.612779,0.315,73.35,1741.0,49441.7680727732
37,CAN,2009,0.134,47.84147,0.316,71.26667,1712.0,49878.1336609729
38,CAN,2010,0.131,48.328378,0.316,71.29166,1715.0,50024.149303565
39,CAN,2011,0.131,49.118031,0.313,71.71667,1713.0,50512.0472233056
40,CAN,2012,0.133,49.22531,0.317,71.925,1722.0,51289.4093362014
41,CAN,2013,0.133,49.879102,0.32,72.29166,1716.0,51923.8100066409
42,CAN,2014,0.126,51.187305,0.313,72.13333,1710.0,52556.8981599616
43,CAN,2015,0.142,51.051617,0.318,72.35833,1712.0,52967.5915201242
44,CAN,2016,0.124,51.135179,0.307,72.33334,1706.0,52019.4558879457
45,CAN,2017,0.12,52.046638,0.31,73.15833,1695.0,52765.0691285916
46,CAN,2018,0.118,52.212832,0.303,73.53333,1708.0,53730.1078984874
47,CAN,2019,0.116,52.691958,0.301,74.15,1690.0,54119.3098746597
48,ISL,2004,0.058,49.292787,0.261,82.275,1645.0,56828.0159623286
49,ISL,2005,0.063,50.908345,0.273,83.775,1637.0,61187.4395544976
50,ISL,2006,0.057,51.827047,0.289,84.6,1627.0,64423.8171909718
51,ISL,2007,0.066,54.507634,0.285,85.15,1605.0,66350.4674888443
52,ISL,2008,0.066,54.473883,0.306,83.575,1625.0,58829.1570594322
53,ISL,2009,0.062,57.958666,0.266,78.325,1536.0,49776.7731139144
