,country,Year,Poverty rate (no unit),GDP per hours worked (USD/hour),Income Inequality (no unit),Employment Rate (no unit),Hours worked per year (hours/year),Average Wage (USD)
54,ISL,2010,0.066,57.363205,0.248,78.175,1528.0,51234.3670935655
55,ISL,2011,0.058,57.412617,0.252,78.475,1538.0,53452.4025297103
56,ISL,2012,0.061,57.495299,0.252,79.675,1523.0,53136.7974672545
57,ISL,2013,0.045,58.702973,0.24,81.1,1524.0,53965.5749004533
58,ISL,2014,0.067,58.676681,0.246,82.95,1513.0,54735.9069150361
59,ISL,2015,0.054,59.662657,0.257,84.725,1511.0,58376.5435915252
60,ISL,2016,0.06,60.324542,0.264,86.525,1520.0,62949.0161045306
61,ISL,2017,0.049,60.815593,0.25,86.1,1507.0,69050.6369122972
62,KOR,2015,0.175,35.5578,0.352,65.90981,2083.0,38143.0356598528
63,KOR,2016,0.176,36.548092,0.355,66.07566,2068.0,39266.0958431848
64,KOR,2017,0.173,38.180621,0.354,66.62926,2018.0,40215.9819810045
65,KOR,2018,0.167,39.639227,0.345,66.61324,1993.0,41624.493664802
66,MEX,2012,0.189,20.061491,0.457,60.90891,2120.0,16258.1216429791
67,MEX,2014,0.167,20.473929,0.459,60.40805,2134.0,16302.0111368586
68,MEX,2016,0.166,20.673107,0.458,61.04717,2146.0,16322.4421961596
69,MEX,2018,0.159,20.685444,0.418,61.52908,2149.0,16637.0923837669
70,NZL,2011,0.098,39.989327,0.323,72.40391,1746.0,40281.0085920608
71,NZL,2012,0.099,41.489133,0.333,71.85777,1734.0,41147.4681845747
72,NZL,2014,0.109,40.611254,0.349,74.17313,1758.0,40794.3114479175
73,NOR,2004,0.069,81.894347,0.285,75.125,1405.1,43170.2950001049
74,NOR,2008,0.078,78.348249,0.25,77.95,1406.6,49404.325369661
75,NOR,2009,0.075,78.455084,0.245,76.425,1387.1,49918.71748337
76,NOR,2010,0.075,78.789195,0.249,75.3,1395.1,50585.6498312246
77,NOR,2011,0.077,78.170009,0.25,75.3,1399.9,52346.751164501
78,NOR,2012,0.081,78.839549,0.253,75.75,1396.3,53776.6554149845
79,NOR,2013,0.078,79.340132,0.252,75.425,1386.7,54852.5811702615
80,NOR,2014,0.081,79.913585,0.257,75.225,1389.5,55120.5236007334
81,NOR,2015,0.081,81.021883,0.272,74.8,1391.9,55403.9267886579
82,NOR,2016,0.082,81.489588,0.262,74.3,1394.7,54224.1509763159
83,NOR,2017,0.084,83.062125,0.262,74.0,1380.4,54117.1054195178
84,NOR,2018,0.084,82.656232,0.262,74.8,1379.3,54690.6441797876
85,NOR,2019,0.084,82.030731,0.261,75.3,1381.4,55752.92248311
86,CHE,2006,0.097,66.20517,0.305,77.9,1679.2,61254.4738602834
87,CHE,2007,0.094,67.534657,0.312,78.6,1668.9,61997.8518858781
88,CHE,2008,0.097,68.157631,0.306,79.5,1659.5,62316.0692047851
89,CHE,2009,0.094,66.778137,0.297,79.0,1650.8,63567.3218880915
90,CHE,2010,0.094,69.220566,0.298,77.325,1611.0,63277.4831447481
91,CHE,2011,0.105,68.896991,0.289,78.35,1608.0,63533.2433176316
92,CHE,2012,0.091,69.192713,0.285,78.475,1593.0,64582.352888541
93,CHE,2013,0.086,70.491166,0.295,78.4,1573.0,65431.0694188698
94,CHE,2014,0.099,71.253329,0.297,78.75,1564.0,65547.8341156918
95,CHE,2015,0.091,70.792085,0.296,79.2,1577.0,65909.5771392198
96,CHE,2016,0.104,71.230165,0.302,79.6,1577.0,65453.3642124618
97,CHE,2017,0.092,72.531098,0.299,79.8,1559.0,65150.6586711521
98,CHE,2018,0.105,74.24583,0.311,80.1,1551.0,64963.4039752928
99,GBR,2002,0.126,52.788493,0.359,72.65,1543.0,42571.4758568034
100,GBR,2003,0.124,54.165884,0.353,72.775,1534.0,43830.509995676
101,GBR,2004,0.116,54.838747,0.354,72.975,1534.0,45195.1809081212
102,GBR,2005,0.12,55.277146,0.359,72.925,1544.0,45368.5410774796
103,GBR,2006,0.126,56.438924,0.364,72.825,1536.0,46546.2850599137
104,GBR,2007,0.128,57.065862,0.373,72.7,1541.0,47824.786055827
105,GBR,2008,0.123,57.043284,0.369,72.6,1525.0,46686.9062248829
106,GBR,2009,0.112,55.836707,0.374,70.9,1516.0,46884.351280431
107,GBR,2010,0.11,57.224896,0.351,70.45,1507.0,46863.4384482268
108,GBR,2011,0.104,57.462167,0.354,70.325,1515.0,46035.8518125816
109,GBR,2012,0.105,57.075996,0.351,70.975,1531.0,45454.71128928
110,GBR,2013,0.104,57.369742,0.358,71.55,1534.0,46052.6231779979
111,GBR,2014,0.105,57.420731,0.356,72.875,1542.0,46155.8151440147
112,GBR,2015,0.109,58.56933,0.36,73.675,1525.0,46646.9164350875
113,GBR,2016,0.111,58.413715,0.351,74.375,1541.0,47180.7786047186
114,GBR,2017,0.119,59.266936,0.357,75.0,1536.0,47145.5619187673
115,GBR,2018,0.117,59.534549,0.366,75.625,1536.0,47229.2283063641
116,GBR,2019,0.124,59.841982,0.366,76.175,1537.0,47936.6285671556
117,USA,2013,0.172,68.407849,0.396,67.35994,1780.0,61346.9094055764
118,USA,2014,0.175,68.665009,0.394,68.14875,1782.0,62263.4103581447
119,USA,2015,0.168,69.047471,0.39,68.70962,1783.0,63844.5557683489
120,USA,2016,0.178,69.256659,0.391,69.35136,1778.0,63941.8570447087
121,USA,2017,0.178,69.916594,0.39,70.11017,1778.0,64618.4522648294
122,USA,2018,0.181,70.653952,0.393,70.72614,1782.0,65302.9401423
123,USA,2019,0.18,71.526814,0.395,71.35841,1777.0,66382.5055522274
124,ISR,2011,0.181,37.968417,0.371,60.87873,1947.2,33753.9496079948
125,ISR,2012,0.184,38.084659,0.371,66.5,1918.8,34300.2995372214
126,ISR,2013,0.186,39.074476,0.36,67.05833,1908.2,34555.7071678365
127,ISR,2014,0.186,39.87803,0.365,67.86667,1894.5,34635.8533629395
128,ISR,2015,0.195,39.851887,0.36,68.31667,1895.4,35626.5366185137
129,ISR,2016,0.177,40.142972,0.346,68.575,1922.1,36920.6882031229
130,ISR,2017,0.179,40.916647,0.344,69.025,1918.0,37902.659531917
131,ISR,2018,0.169,41.986031,0.348,69.03333,1910.1,38810.8301118814
132,CHL,2009,0.178,23.625551,0.48,56.06453,2074.0,22231.249455486
133,CHL,2011,0.184,23.291463,0.471,62.04338,2050.2,25384.2451378458
134,CHL,2013,0.168,24.892583,0.465,63.15082,2021.3,26875.9157099107
135,CHL,2015,0.161,25.484431,0.454,63.49899,1993.7,27082.0182648372
136,CHL,2017,0.165,25.837656,0.46,63.90356,1963.1,27605.3111054751
137,AUS,1970,NaN,26.849662,NaN,NaN,NaN,NaN
138,AUS,1971,NaN,27.519841,NaN,NaN,NaN,NaN
139,AUS,1972,NaN,28.126987,NaN,NaN,NaN,NaN
140,AUS,1973,NaN,28.707055,NaN,NaN,NaN,NaN
141,AUS,1974,NaN,28.246118,NaN,NaN,NaN,NaN
142,AUS,1975,NaN,29.292581,NaN,NaN,NaN,NaN
143,AUS,1976,NaN,29.780255,NaN,NaN,NaN,NaN
144,AUS,1977,NaN,29.745784,NaN,NaN,NaN,NaN
145,AUS,1978,NaN,31.002988,NaN,NaN,NaN,NaN
146,AUS,1979,NaN,31.162267,NaN,64.38335,NaN,NaN
147,AUS,1980,NaN,31.510759,NaN,65.17445,NaN,NaN
148,AUS,1981,NaN,32.41978,NaN,65.36742,NaN,NaN
149,AUS,1982,NaN,32.809425,NaN,64.16441,NaN,NaN
150,AUS,1983,NaN,33.708691,NaN,61.94022,NaN,NaN
151,AUS,1984,NaN,34.441257,NaN,62.82397,NaN,NaN
152,AUS,1985,NaN,34.376214,NaN,63.7218,1876.0,NaN
153,AUS,1986,NaN,34.394656,NaN,65.14481,1877.0,NaN
154,AUS,1987,NaN,35.128817,NaN,65.30288,1889.0,NaN
155,AUS,1988,NaN,35.019444,NaN,66.48173,1885.0,NaN
156,AUS,1989,NaN,35.134833,NaN,68.19857,1875.0,NaN
157,AUS,1990,NaN,35.688405,NaN,68.37136,1853.0,39875.3457023889
158,AUS,1991,NaN,36.503378,NaN,65.9215,1854.0,39685.2596299508
159,AUS,1992,NaN,37.621648,NaN,64.93269,1846.0,40481.9942762401
160,AUS,1993,NaN,37.703136,NaN,64.61858,1856.0,40854.7038466573
161,AUS,1994,NaN,37.768518,NaN,66.00251,1874.0,41131.5756387698
162,AUS,1995,NaN,38.9007,NaN,67.62838,1870.0,40973.5289636498
163,AUS,1996,NaN,40.247089,NaN,67.66373,1862.0,42187.475278892
164,AUS,1997,NaN,41.610448,NaN,67.36479,1861.0,43450.0360242148
165,AUS,1998,NaN,42.919568,NaN,67.80048,1850.0,44066.5199498077
166,AUS,1999,NaN,43.290004,NaN,68.23203,1856.0,45103.5014853406
167,AUS,2000,NaN,43.779461,NaN,69.09614,1852.0,45201.3198979376
168,AUS,2001,NaN,45.312444,NaN,69.00098,1829.0,45693.2368983185
169,AUS,2002,NaN,45.998551,NaN,69.35914,1818.0,46007.8194769526
170,AUS,2003,NaN,47.056871,NaN,70.01125,1807.0,46545.9762787039
171,AUS,2004,NaN,46.902014,NaN,70.29926,1811.0,47994.2551304069
172,AUS,2005,NaN,47.063794,NaN,71.54403,1808.0,48614.8923837984
173,AUS,2006,NaN,47.3017,NaN,72.12262,1802.0,48929.0689909993
174,AUS,2007,NaN,47.836256,NaN,72.80006,1803.0,50279.2482768596
175,AUS,2008,NaN,49.483852,NaN,73.20431,1799.0,50684.7693032932
176,AUS,2009,NaN,49.055792,NaN,72.05107,1767.0,50225.1928494414
177,AUS,2010,NaN,49.867874,NaN,72.37024,1778.0,51957.4061139585
178,AUS,2011,NaN,50.454253,NaN,72.65694,1774.0,53600.6798454773
179,AUS,2013,NaN,52.549593,NaN,71.97044,1766.0,53672.2717426346
180,AUS,2015,NaN,54.106372,NaN,72.15796,1751.0,53635.8414091431
181,AUS,2017,NaN,54.568744,NaN,72.98936,1738.0,53437.0587542119
182,AUS,2019,NaN,55.208255,NaN,74.32264,1722.0,54020.7914912353
183,AUS,2020,NaN,55.803026,NaN,72.70295,1683.0,55206.3936635827
184,CAN,1970,NaN,28.629921,NaN,NaN,1925.0,NaN
185,CAN,1971,NaN,29.334365,NaN,NaN,1912.0,NaN
186,CAN,1972,NaN,30.350246,NaN,NaN,1904.0,NaN
187,CAN,1973,NaN,31.07351,NaN,NaN,1898.0,NaN
188,CAN,1974,NaN,31.071951,NaN,NaN,1891.0,NaN
189,CAN,1975,NaN,31.427784,NaN,NaN,1872.0,NaN
190,CAN,2020,NaN,56.862229,NaN,69.96667,1644.0,55342.0428953064
191,ISL,1970,NaN,19.781699,NaN,NaN,1954.0,NaN
192,ISL,1971,NaN,21.775662,NaN,NaN,1916.0,NaN
193,ISL,1972,NaN,22.858423,NaN,NaN,1883.0,NaN
194,ISL,1973,NaN,23.985674,NaN,NaN,1866.0,NaN
195,ISL,1974,NaN,24.857999,NaN,NaN,1841.0,NaN
196,ISL,1975,NaN,24.892669,NaN,NaN,1817.0,NaN
197,ISL,1976,NaN,25.914868,NaN,NaN,1790.0,NaN
198,ISL,1977,NaN,28.767179,NaN,NaN,1748.0,NaN
199,ISL,1978,NaN,30.257752,NaN,NaN,1710.0,NaN
200,ISL,1979,NaN,31.751738,NaN,NaN,1697.0,NaN
201,ISL,1980,NaN,32.754047,NaN,NaN,1688.0,NaN
202,ISL,1981,NaN,32.579982,NaN,NaN,1681.0,NaN
203,ISL,1982,NaN,32.403695,NaN,NaN,1684.0,NaN
204,ISL,1983,NaN,31.418222,NaN,NaN,1684.0,NaN
205,ISL,1984,NaN,32.304395,NaN,NaN,1682.0,NaN
206,ISL,1985,NaN,32.213927,NaN,NaN,1681.0,NaN
207,ISL,1986,NaN,33.334137,NaN,NaN,1674.0,NaN
208,ISL,1987,NaN,34.235984,NaN,NaN,1672.0,NaN
209,ISL,1988,NaN,35.092509,NaN,NaN,1679.0,NaN
210,ISL,1989,NaN,35.797786,NaN,NaN,1675.0,NaN
211,ISL,1990,NaN,36.776556,NaN,NaN,1665.0,40695.1696855967
212,ISL,1991,NaN,36.637575,NaN,NaN,1668.0,43995.9303017659
213,ISL,1992,NaN,35.401461,NaN,NaN,1668.0,42470.6297430284
214,ISL,1993,NaN,35.624847,NaN,NaN,1683.0,40225.7949525325
215,ISL,1994,NaN,37.235121,NaN,NaN,1655.0,41035.48473325
216,ISL,1995,NaN,36.509502,NaN,NaN,1641.0,42023.8585469504
217,ISL,1996,NaN,37.709532,NaN,NaN,1659.0,43355.826497965
218,ISL,1997,NaN,39.293817,NaN,NaN,1684.0,45194.7254758201
219,ISL,1998,NaN,40.966233,NaN,NaN,1665.0,49877.2209216982
220,ISL,1999,NaN,41.617839,NaN,NaN,1645.0,52210.1644555739
221,ISL,2000,NaN,41.538654,NaN,NaN,1696.0,53810.3437248817
222,ISL,2001,NaN,42.225429,NaN,NaN,1707.0,53368.731465813
223,ISL,2002,NaN,43.986827,NaN,NaN,1672.0,54902.6276430351
224,ISL,2003,NaN,45.717244,NaN,83.25,1639.0,53534.4376803548
225,ISL,2018,NaN,62.372677,NaN,85.075,1496.0,72465.7719215692
226,ISL,2019,NaN,64.659108,NaN,84.1,1480.0,70391.1575943075
227,ISL,2020,NaN,64.909722,NaN,80.3,1435.0,67488.0131063208
228,KOR,1970,NaN,2.992643,NaN,NaN,NaN,NaN
229,KOR,1971,NaN,3.205216,NaN,NaN,NaN,NaN
230,KOR,1972,NaN,3.299719,NaN,NaN,NaN,NaN
231,KOR,1973,NaN,3.603414,NaN,NaN,NaN,NaN
232,KOR,1974,NaN,3.788234,NaN,NaN,NaN,NaN
233,KOR,1975,NaN,3.998885,NaN,NaN,NaN,NaN
234,KOR,1976,NaN,4.273191,NaN,NaN,NaN,NaN
235,KOR,1977,NaN,4.659708,NaN,NaN,NaN,NaN
236,KOR,1978,NaN,4.948738,NaN,NaN,NaN,NaN
237,KOR,1979,NaN,5.313231,NaN,NaN,NaN,NaN
238,KOR,1980,NaN,5.205596,NaN,NaN,NaN,NaN
239,KOR,1981,NaN,5.417179,NaN,NaN,NaN,NaN
240,KOR,1982,NaN,5.697845,NaN,NaN,NaN,NaN
241,KOR,1983,NaN,6.364285,NaN,NaN,NaN,NaN
242,KOR,1984,NaN,7.082612,NaN,NaN,NaN,NaN
243,KOR,1985,NaN,7.425646,NaN,NaN,NaN,NaN
244,KOR,1986,NaN,7.90201,NaN,NaN,NaN,NaN
245,KOR,1987,NaN,8.535919,NaN,NaN,NaN,NaN
246,KOR,1988,NaN,9.417768,NaN,NaN,NaN,NaN
247,KOR,1989,NaN,10.052417,NaN,NaN,NaN,NaN
248,KOR,1990,NaN,10.941045,NaN,NaN,NaN,21829.5632097552
249,KOR,1991,NaN,11.840905,NaN,NaN,NaN,22790.2946805632
250,KOR,1992,NaN,12.437938,NaN,NaN,NaN,23795.8961181138
251,KOR,1993,NaN,13.052885,NaN,NaN,NaN,25213.2795725599
252,KOR,1994,NaN,13.899385,NaN,NaN,NaN,25730.8617580107
253,KOR,1995,NaN,14.771812,NaN,NaN,NaN,28239.7235731518
254,KOR,1996,NaN,15.663279,NaN,NaN,NaN,29566.2534884024
255,KOR,1997,NaN,16.697812,NaN,NaN,NaN,28968.3860373345
256,KOR,1998,NaN,17.504263,NaN,NaN,NaN,28676.74313756
257,KOR,1999,NaN,19.122007,NaN,NaN,NaN,28968.9788671054
258,KOR,2000,NaN,19.867034,NaN,61.51276,NaN,29237.9919650463
259,KOR,2001,NaN,20.534599,NaN,62.2052,NaN,30257.8557372557
260,KOR,2002,NaN,21.887622,NaN,63.40555,NaN,31309.21260399
261,KOR,2003,NaN,22.903303,NaN,63.0346,NaN,32461.5680266026
262,KOR,2004,NaN,23.940085,NaN,63.76704,NaN,33198.6684850012
263,KOR,2005,NaN,25.066255,NaN,63.74775,NaN,34242.2960193224
264,KOR,2006,NaN,26.109854,NaN,63.97321,NaN,34677.7344631036
265,KOR,2007,NaN,27.762018,NaN,64.14521,NaN,35425.00428861
266,KOR,2008,NaN,29.325932,NaN,63.9557,2228.0,35335.5680636551
267,KOR,2009,NaN,30.340215,NaN,63.0171,2174.0,35567.5388374825
268,KOR,2010,NaN,32.147724,NaN,63.38788,2163.0,36140.1735000033
269,KOR,2011,NaN,33.077795,NaN,63.91484,2136.0,36617.4360359653
270,KOR,2012,NaN,33.544427,NaN,64.34369,2119.0,36081.9356471152
271,KOR,2013,NaN,34.297736,NaN,64.62727,2106.0,37006.234945075
272,KOR,2014,NaN,35.078734,NaN,65.56622,2076.0,37104.7593271211
273,KOR,2019,NaN,40.57594,NaN,66.82268,1967.0,42296.7501308016
274,KOR,2020,NaN,41.810911,NaN,65.86022,1908.0,41960.2703828377
275,MEX,1991,NaN,19.779529,NaN,NaN,2113.0,15218.7480611386
276,MEX,1992,NaN,19.881873,NaN,NaN,2104.0,16046.9088805274
277,MEX,1993,NaN,19.80269,NaN,NaN,2112.0,16698.0768767966
278,MEX,1994,NaN,19.759341,NaN,NaN,2146.0,17121.9021908096
279,MEX,1995,NaN,18.538649,NaN,NaN,2161.0,14100.4630290878
280,MEX,1996,NaN,18.748189,NaN,NaN,2192.0,13284.6010596265
281,MEX,1997,NaN,18.531243,NaN,NaN,2241.0,13940.6106115662
282,MEX,1998,NaN,19.622722,NaN,NaN,2168.0,14710.5159274969
283,MEX,1999,NaN,19.27401,NaN,NaN,2242.0,15310.5615359001
284,MEX,2000,NaN,20.408184,NaN,NaN,2174.0,16110.6866892687
285,MEX,2001,NaN,20.546467,NaN,NaN,2146.0,17046.4785207923
286,MEX,2002,NaN,19.608957,NaN,NaN,2196.0,16977.9491809188
287,MEX,2003,NaN,20.222358,NaN,NaN,2143.0,17277.1034229135
288,MEX,2004,NaN,20.500537,NaN,NaN,2123.0,17362.9991925189
289,MEX,2005,NaN,20.218735,NaN,60.05342,2105.0,17484.3700695604
290,MEX,2006,NaN,20.875724,NaN,60.96249,2067.0,17456.8945189237
291,MEX,2007,NaN,21.161519,NaN,61.00108,2045.0,17523.0926176875
292,MEX,2008,NaN,20.463338,NaN,60.66586,2105.0,17371.2403339263
293,MEX,2009,NaN,20.459199,NaN,59.784,1973.0,17513.0591679796
294,MEX,2010,NaN,19.441112,NaN,59.66136,2150.0,16407.2574266034
295,MEX,2011,NaN,19.986545,NaN,60.02428,2121.0,16554.7026903653
296,MEX,2013,NaN,19.965482,NaN,60.8422,2136.0,16271.364790351
297,MEX,2015,NaN,20.592155,NaN,60.74515,2140.0,16516.1520728679
298,MEX,2017,NaN,20.783407,NaN,61.12864,2149.0,16277.2517649564
299,MEX,2019,NaN,20.409133,NaN,62.26349,2139.0,16771.2855837208
300,MEX,2020,NaN,20.224042,NaN,NaN,2124.0,16229.9243523757
301,NZL,1970,NaN,23.792929,NaN,NaN,NaN,NaN
302,NZL,1971,NaN,24.444651,NaN,NaN,NaN,NaN
303,NZL,1972,NaN,25.618319,NaN,NaN,NaN,NaN
304,NZL,1973,NaN,26.739853,NaN,NaN,NaN,NaN
305,NZL,1974,NaN,27.018476,NaN,NaN,NaN,NaN
306,NZL,1975,NaN,26.319206,NaN,NaN,NaN,NaN
307,NZL,1976,NaN,26.161676,NaN,NaN,NaN,NaN
308,NZL,1977,NaN,24.681476,NaN,NaN,NaN,NaN
309,NZL,1978,NaN,25.017839,NaN,NaN,NaN,NaN
310,NZL,1979,NaN,25.35314,NaN,NaN,NaN,NaN
311,NZL,1980,NaN,25.852708,NaN,NaN,NaN,NaN
312,NZL,1981,NaN,27.133135,NaN,NaN,NaN,NaN
313,NZL,1982,NaN,27.041694,NaN,NaN,NaN,NaN
314,NZL,1983,NaN,27.453203,NaN,NaN,NaN,NaN
315,NZL,1984,NaN,28.104984,NaN,NaN,NaN,NaN
316,NZL,1985,NaN,27.680949,NaN,NaN,NaN,NaN
317,NZL,1986,NaN,26.951989,NaN,72.15318,1834.0,NaN
318,NZL,1987,NaN,27.214934,NaN,71.97916,1838.0,NaN
319,NZL,1988,NaN,28.790346,NaN,69.43733,1829.0,NaN
320,NZL,1989,NaN,30.109319,NaN,67.16886,1820.0,NaN
321,NZL,1990,NaN,31.171347,NaN,67.10247,1809.0,31058.3035759258
322,NZL,1991,NaN,30.621011,NaN,65.26609,1792.0,29809.3855184474
323,NZL,1992,NaN,31.771646,NaN,64.92945,1799.0,31108.4516231089
324,NZL,1993,NaN,32.531306,NaN,65.62728,1853.0,31942.9911038416
325,NZL,1994,NaN,32.639305,NaN,67.49545,1848.0,32538.7246272689
326,NZL,1995,NaN,32.977826,NaN,69.65571,1841.0,32364.4364625811
327,NZL,1996,NaN,33.07658,NaN,70.60989,1834.0,32920.4377490579
328,NZL,1997,NaN,34.173201,NaN,70.1252,1826.0,33814.0529275748
329,NZL,1998,NaN,33.62913,NaN,69.07514,1829.0,33300.910718867
330,NZL,1999,NaN,33.996672,NaN,69.55356,1845.0,32835.3136317548
331,NZL,2000,NaN,35.021246,NaN,70.33273,1836.0,32991.7467899159
332,NZL,2001,NaN,35.644463,NaN,71.37629,1825.0,33600.690198892
333,NZL,2002,NaN,36.337449,NaN,72.09379,1826.0,34237.0641186125
334,NZL,2003,NaN,37.029392,NaN,72.15541,1823.0,35489.484923018
335,NZL,2004,NaN,36.892135,NaN,73.16463,1830.0,36745.5013161667
336,NZL,2005,NaN,36.857308,NaN,74.21869,1815.0,37372.1056156361
337,NZL,2006,NaN,37.364115,NaN,74.76456,1795.0,37613.0692380817
338,NZL,2007,NaN,38.842779,NaN,75.10442,1774.0,39827.4030440604
339,NZL,2008,NaN,37.566999,NaN,74.55002,1761.0,39384.2784512583
340,NZL,2009,NaN,39.575355,NaN,72.72729,1740.0,39868.87239295
341,NZL,2010,NaN,39.230057,NaN,72.10973,1755.0,40278.9683994547
342,NZL,2013,NaN,40.641509,NaN,72.72184,1756.0,40637.0606274242
343,NZL,2015,NaN,41.622831,NaN,74.24967,1753.0,41503.1440252086
344,NZL,2016,NaN,41.214514,NaN,75.57751,1754.0,42862.1216538562
345,NZL,2017,NaN,41.290964,NaN,76.91602,1756.0,43147.5639574373
346,NZL,2018,NaN,42.225511,NaN,77.49548,1759.0,44120.764648889
347,NZL,2019,NaN,41.772946,NaN,77.46133,1783.0,45092.03472025
348,NZL,2020,NaN,42.379934,NaN,76.78672,1739.0,45269.4828055042
349,NOR,1970,NaN,28.377926,NaN,NaN,1835.0,NaN
350,NOR,1971,NaN,30.069098,NaN,NaN,1813.4,NaN
351,NOR,1972,NaN,31.88853,NaN,NaN,1780.5,NaN
352,NOR,1973,NaN,33.368234,NaN,NaN,1766.2,NaN
353,NOR,1974,NaN,34.618037,NaN,NaN,1745.0,NaN
354,NOR,1975,NaN,36.049104,NaN,NaN,1728.1,NaN
355,NOR,1976,NaN,38.04593,NaN,NaN,1674.5,NaN
356,NOR,1977,NaN,39.349568,NaN,NaN,1638.4,NaN
357,NOR,1978,NaN,41.06515,NaN,NaN,1601.9,NaN
358,NOR,1979,NaN,42.860708,NaN,NaN,1580.1,NaN
359,NOR,1980,NaN,43.740239,NaN,NaN,1579.8,NaN
360,NOR,1981,NaN,44.119829,NaN,NaN,1570.2,NaN
361,NOR,1982,NaN,44.514612,NaN,NaN,1558.9,NaN
362,NOR,1983,NaN,46.574181,NaN,NaN,1553.3,NaN
363,NOR,1984,NaN,49.181401,NaN,NaN,1548.3,NaN
364,NOR,1985,NaN,50.709237,NaN,NaN,1542.3,NaN
