country,Year,Hours worked per year (hours/year)
AUS,1985,1876.0
AUS,1986,1877.0
AUS,1987,1889.0
AUS,1988,1885.0
AUS,1989,1875.0
AUS,1990,1853.0
AUS,1991,1854.0
AUS,1992,1846.0
AUS,1993,1856.0
AUS,1994,1874.0
AUS,1995,1870.0
AUS,1996,1862.0
AUS,1997,1861.0
AUS,1998,1850.0
AUS,1999,1856.0
AUS,2000,1852.0
AUS,2001,1829.0
AUS,2002,1818.0
AUS,2003,1807.0
AUS,2004,1811.0
AUS,2005,1808.0
AUS,2006,1802.0
AUS,2007,1803.0
AUS,2008,1799.0
AUS,2009,1767.0
AUS,2010,1778.0
AUS,2011,1774.0
AUS,2012,1771.0
AUS,2013,1766.0
AUS,2014,1755.0
AUS,2015,1751.0
AUS,2016,1739.0
AUS,2017,1738.0
AUS,2018,1733.0
AUS,2019,1722.0
AUS,2020,1683.0
CAN,1961,2059.0
CAN,1962,2058.0
CAN,1963,2041.0
CAN,1964,2033.0
CAN,1965,2016.0
CAN,1966,2001.0
CAN,1967,1993.0
CAN,1968,1958.0
CAN,1969,1943.0
CAN,1970,1925.0
CAN,1971,1912.0
CAN,1972,1904.0
CAN,1973,1898.0
CAN,1974,1891.0
CAN,1975,1872.0
CAN,1976,1862.0
CAN,1977,1834.0
CAN,1978,1836.0
CAN,1979,1841.0
CAN,1980,1827.0
CAN,1981,1812.0
CAN,1982,1789.0
CAN,1983,1779.0
CAN,1984,1789.0
CAN,1985,1795.0
CAN,1986,1797.0
CAN,1987,1807.0
CAN,1988,1808.0
CAN,1989,1802.0
CAN,1990,1797.0
CAN,1991,1775.0
CAN,1992,1772.0
CAN,1993,1769.0
CAN,1994,1778.0
CAN,1995,1775.0
CAN,1996,1790.0
CAN,1997,1798.0
CAN,1998,1794.0
CAN,1999,1793.0
CAN,2000,1787.0
CAN,2001,1774.0
CAN,2002,1755.0
CAN,2003,1745.0
CAN,2004,1755.0
CAN,2005,1745.0
CAN,2006,1744.0
CAN,2007,1744.0
CAN,2008,1741.0
CAN,2009,1712.0
CAN,2010,1715.0
CAN,2011,1713.0
CAN,2012,1722.0
CAN,2013,1716.0
CAN,2014,1710.0
CAN,2015,1712.0
CAN,2016,1706.0
CAN,2017,1695.0
CAN,2018,1708.0
CAN,2019,1690.0
CAN,2020,1644.0
ISL,1970,1954.0
ISL,1971,1916.0
ISL,1972,1883.0
ISL,1973,1866.0
ISL,1974,1841.0
ISL,1975,1817.0
ISL,1976,1790.0
ISL,1977,1748.0
ISL,1978,1710.0
ISL,1979,1697.0
ISL,1980,1688.0
ISL,1981,1681.0
ISL,1982,1684.0
ISL,1983,1684.0
ISL,1984,1682.0
ISL,1985,1681.0
ISL,1986,1674.0
ISL,1987,1672.0
ISL,1988,1679.0
ISL,1989,1675.0
ISL,1990,1665.0
ISL,1991,1668.0
ISL,1992,1668.0
ISL,1993,1683.0
ISL,1994,1655.0
ISL,1995,1641.0
ISL,1996,1659.0
ISL,1997,1684.0
ISL,1998,1665.0
ISL,1999,1645.0
ISL,2000,1696.0
ISL,2001,1707.0
ISL,2002,1672.0
ISL,2003,1639.0
ISL,2004,1645.0
ISL,2005,1637.0
ISL,2006,1627.0
ISL,2007,1605.0
ISL,2008,1625.0
ISL,2009,1536.0
ISL,2010,1528.0
ISL,2011,1538.0
ISL,2012,1523.0
ISL,2013,1524.0
ISL,2014,1513.0
ISL,2015,1511.0
ISL,2016,1520.0
ISL,2017,1507.0
ISL,2018,1496.0
ISL,2019,1480.0
ISL,2020,1435.0
KOR,2008,2228.0
KOR,2009,2174.0
