country,Year,Income Inequality (no unit)
AUT,2007,0.284
AUT,2008,0.28
AUT,2009,0.289
AUT,2010,0.28
AUT,2011,0.281
AUT,2012,0.276
AUT,2013,0.28
AUT,2014,0.274
AUT,2015,0.275
AUT,2016,0.284
AUT,2017,0.275
AUT,2018,0.28
AUT,2019,0.274
BEL,2018,0.258
BEL,2019,0.262
CZE,2004,0.267
CZE,2005,0.261
CZE,2006,0.26
CZE,2007,0.256
CZE,2008,0.259
CZE,2009,0.257
CZE,2010,0.26
CZE,2011,0.257
CZE,2012,0.254
CZE,2013,0.259
CZE,2014,0.257
CZE,2015,0.258
CZE,2016,0.253
CZE,2017,0.249
CZE,2018,0.249
CZE,2019,0.248
DNK,2011,0.251
DNK,2012,0.249
DNK,2013,0.254
DNK,2014,0.256
DNK,2015,0.263
DNK,2016,0.261
DNK,2017,0.264
DNK,2018,0.263
FIN,1987,0.209
FIN,1988,0.213
FIN,1989,0.217
FIN,1990,0.215
FIN,1991,0.212
FIN,1992,0.211
FIN,1993,0.214
FIN,1994,0.215
FIN,1995,0.22
FIN,1996,0.224
FIN,1997,0.235
FIN,1998,0.243
FIN,1999,0.25
FIN,2000,0.254
FIN,2001,0.262
FIN,2002,0.258
FIN,2003,0.261
FIN,2004,0.266
FIN,2005,0.265
FIN,2006,0.268
FIN,2007,0.269
FIN,2008,0.264
FIN,2009,0.259
FIN,2010,0.264
FIN,2011,0.264
FIN,2012,0.26
FIN,2013,0.262
FIN,2014,0.257
FIN,2015,0.26
FIN,2016,0.259
FIN,2017,0.266
FIN,2018,0.269
FRA,2012,0.305
FRA,2013,0.291
FRA,2014,0.293
FRA,2015,0.295
FRA,2016,0.291
FRA,2017,0.292
FRA,2018,0.301
FRA,2019,0.292
DEU,2008,0.285
DEU,2011,0.291
DEU,2012,0.289
DEU,2013,0.292
DEU,2014,0.289
DEU,2015,0.293
DEU,2016,0.294
DEU,2017,0.289
DEU,2018,0.289
GRC,2004,0.333
GRC,2005,0.345
GRC,2006,0.337
GRC,2007,0.329
GRC,2008,0.328
GRC,2009,0.33
GRC,2010,0.336
GRC,2011,0.333
GRC,2012,0.338
GRC,2013,0.342
GRC,2014,0.339
GRC,2015,0.34
GRC,2016,0.333
GRC,2017,0.319
GRC,2018,0.306
GRC,2019,0.308
HUN,2006,0.264
HUN,2007,0.257
