,LOCATION,Year,Poverty index (no unit),GDP per hours worked wage (USD/hour),Gini coefficient (no units),Employment rate (% of working age population)
0,AUT,2007,0.097,63.814049,0.284,69.875
1,AUT,2008,0.093,63.814456,0.28,70.825
2,AUT,2009,0.096,63.363388,0.289,70.325
3,AUT,2010,0.089,64.291488,0.28,70.775
4,AUT,2011,0.091,64.94796,0.281,71.1
5,AUT,2012,0.096,65.645538,0.276,71.425
6,AUT,2013,0.09,66.080679,0.28,71.4
7,AUT,2014,0.091,66.327394,0.274,71.075
8,AUT,2015,0.087,67.267651,0.275,71.1
9,AUT,2016,0.098,67.184974,0.284,71.55
10,AUT,2017,0.094,67.999464,0.275,72.2
11,AUT,2018,0.094,68.360281,0.28,73.025
12,AUT,2019,0.1,68.276785,0.274,73.525
13,BEL,2018,0.082,71.700122,0.258,64.45
14,BEL,2019,0.081,72.2193,0.262,65.3
15,CZE,2004,0.058,31.147574,0.267,64.175
16,CZE,2005,0.055,32.765277,0.261,64.8
17,CZE,2006,0.056,34.781571,0.26,65.275
18,CZE,2007,0.055,36.256014,0.256,66.075
19,CZE,2008,0.059,36.139167,0.259,66.55
20,CZE,2009,0.06,35.303035,0.257,65.375
21,CZE,2010,0.065,36.128328,0.26,64.975
22,CZE,2011,0.059,36.734795,0.257,65.725
23,CZE,2012,0.052,36.886973,0.254,66.55
24,CZE,2013,0.059,37.004724,0.259,67.725
25,CZE,2014,0.059,37.432375,0.257,68.975
26,CZE,2015,0.064,39.390083,0.258,70.225
27,CZE,2016,0.056,39.251558,0.253,71.95
28,CZE,2017,0.056,40.595969,0.249,73.625
29,CZE,2018,0.061,41.152718,0.249,74.825
30,CZE,2019,0.056,42.263727,0.248,75.125
31,DNK,2011,0.058,66.165566,0.251,71.625
32,DNK,2012,0.054,67.430176,0.249,71.025
33,DNK,2013,0.054,67.960405,0.254,70.775
34,DNK,2014,0.055,69.036988,0.256,71.1
35,DNK,2015,0.055,70.022816,0.263,71.975
36,DNK,2016,0.058,70.856515,0.261,72.675
37,DNK,2017,0.061,72.180878,0.264,73.225
38,DNK,2018,0.064,73.769587,0.263,74.125
39,FIN,1987,0.052,33.730281,0.209,NaN
40,FIN,1988,0.056,35.290565,0.213,NaN
41,FIN,1989,0.057,36.666578,0.217,NaN
42,FIN,1990,0.056,37.54624,0.215,NaN
43,FIN,1991,0.054,37.838024,0.212,NaN
44,FIN,1992,0.05,39.207823,0.211,NaN
45,FIN,1993,0.042,41.346917,0.214,NaN
46,FIN,1994,0.042,43.178352,0.215,NaN
47,FIN,1995,0.042,43.940799,0.22,NaN
48,FIN,1996,0.046,44.848465,0.224,NaN
49,FIN,1997,0.048,46.233053,0.235,NaN
50,FIN,1998,0.05,48.089855,0.243,64.05
51,FIN,1999,0.052,49.182399,0.25,66.275
52,FIN,2000,0.053,51.309839,0.254,67.15
53,FIN,2001,0.063,52.287908,0.262,68.125
54,FIN,2002,0.062,52.788651,0.258,68.075
