country,Year,GDP per hours worked (USD/hour)
AUT,1995,51.105772
AUT,1996,51.175266
AUT,1997,51.62205
AUT,1998,53.568424
AUT,1999,54.513967
AUT,2000,55.825179
AUT,2001,56.533555
AUT,2002,57.591558
AUT,2003,58.071618
AUT,2004,59.181589
AUT,2005,60.63234
AUT,2006,62.218785
AUT,2007,63.814049
AUT,2008,63.814456
AUT,2009,63.363388
AUT,2010,64.291488
AUT,2011,64.94796
AUT,2012,65.645538
AUT,2013,66.080679
AUT,2014,66.327394
AUT,2015,67.267651
AUT,2016,67.184974
AUT,2017,67.999464
AUT,2018,68.360281
AUT,2019,68.276785
AUT,2020,69.760137
BEL,1970,27.497166
BEL,1971,28.485856
BEL,1972,30.468756
BEL,1973,32.532014
BEL,1974,33.924965
BEL,1975,34.141031
BEL,1976,36.207479
BEL,1977,37.115528
BEL,1978,38.507129
BEL,1979,39.422417
BEL,1980,41.729091
BEL,1981,42.974937
BEL,1982,44.17632
BEL,1983,44.7383
BEL,1984,45.213096
BEL,1985,45.575369
BEL,1986,46.657876
BEL,1987,47.821332
BEL,1988,49.479833
BEL,1989,50.695138
BEL,1990,51.285906
BEL,1991,53.247397
BEL,1992,54.911491
BEL,1993,56.284298
BEL,1994,58.348072
BEL,1995,58.593596
BEL,1996,59.324556
BEL,1997,60.888272
BEL,1998,61.322735
BEL,1999,62.591788
BEL,2000,63.08917
BEL,2001,63.233672
BEL,2002,63.667303
BEL,2003,64.204011
BEL,2004,66.278551
BEL,2005,67.287921
BEL,2006,67.637137
BEL,2007,68.887444
BEL,2008,68.464336
BEL,2009,68.020751
BEL,2010,69.053627
BEL,2011,68.581978
BEL,2012,68.923207
BEL,2013,69.517696
BEL,2014,70.513657
BEL,2015,71.604653
BEL,2016,71.674769
BEL,2017,71.534022
BEL,2018,71.700122
BEL,2019,72.2193
BEL,2020,74.487852
CZE,1993,21.584056
CZE,1994,22.182228
CZE,1995,23.555989
CZE,1996,24.464831
CZE,1997,24.396092
CZE,1998,24.433029
CZE,1999,24.918613
CZE,2000,25.998047
CZE,2001,27.994158
CZE,2002,28.429678
CZE,2003,29.901424
CZE,2004,31.147574
CZE,2005,32.765277
CZE,2006,34.781571
CZE,2007,36.256014
CZE,2008,36.139167
CZE,2009,35.303035
CZE,2010,36.128328
CZE,2011,36.734795
CZE,2012,36.886973
CZE,2013,37.004724
CZE,2014,37.432375
CZE,2015,39.390083
CZE,2016,39.251558
CZE,2017,40.595969
CZE,2018,41.152718
CZE,2019,42.263727
CZE,2020,42.444763
CZE,2021,42.573113
DNK,1970,27.472263
DNK,1971,28.866758
DNK,1972,30.399818
DNK,1973,32.058011
DNK,1974,32.263526
DNK,1975,33.589438
DNK,1976,34.830328
DNK,1977,36.121419
DNK,1978,37.157283
DNK,1979,38.436488
DNK,1980,38.140141
DNK,1981,39.262832
DNK,1982,40.358549
DNK,1983,41.560958
DNK,1984,42.8173
DNK,1985,43.900178
DNK,1986,44.851916
DNK,1987,45.762837
DNK,1988,46.660917
DNK,1989,47.63771
DNK,1990,49.031726
DNK,1991,50.313361
DNK,1992,51.179633
DNK,1993,52.15734
DNK,1994,55.487238
DNK,1995,56.312932
DNK,1996,57.655533
DNK,1997,58.073442
DNK,1998,58.006556
DNK,1999,58.597376
DNK,2000,59.954667
DNK,2001,59.743007
DNK,2002,60.234191
DNK,2003,61.228274
DNK,2004,63.183454
DNK,2005,64.048343
DNK,2006,64.892447
DNK,2007,65.012119
DNK,2008,64.044269
DNK,2009,63.453957
DNK,2010,65.937261
DNK,2011,66.165566
DNK,2012,67.430176
DNK,2013,67.960405
DNK,2014,69.036988
DNK,2015,70.022816
DNK,2016,70.856515
DNK,2017,72.180878
DNK,2018,73.769587
DNK,2019,74.832812
DNK,2020,75.406175
FIN,1970,17.891602
FIN,1971,18.769753
FIN,1972,20.19845
FIN,1973,21.394049
FIN,1974,22.072285
FIN,1975,23.448613
FIN,1976,23.786178
FIN,1977,24.380215
FIN,1978,25.257122
FIN,1979,26.824261
FIN,1980,27.771568
FIN,1981,27.779305
FIN,1982,28.581813
FIN,1983,29.73621
FIN,1984,30.670306
FIN,1985,31.718514
FIN,1986,33.029039
FIN,1987,33.730281
FIN,1988,35.290565
FIN,1989,36.666578
FIN,1990,37.54624
FIN,1991,37.838024
FIN,1992,39.207823
FIN,1993,41.346917
FIN,1994,43.178352
FIN,1995,43.940799
FIN,1996,44.848465
FIN,1997,46.233053
FIN,1998,48.089855
FIN,1999,49.182399
FIN,2000,51.309839
FIN,2001,52.287908
FIN,2002,52.788651
FIN,2003,53.884684
FIN,2004,55.707489
FIN,2005,56.779062
FIN,2006,58.155532
FIN,2007,60.024417
FIN,2008,59.322583
FIN,2009,56.695101
FIN,2010,58.669818
FIN,2011,59.482446
FIN,2012,58.526417
FIN,2013,58.741949
FIN,2014,58.857955
FIN,2015,59.336748
FIN,2016,60.730655
FIN,2017,62.258937
FIN,2018,61.547286
FIN,2019,61.454045
FIN,2020,61.518782
FRA,1970,23.895838
FRA,1971,25.08375
FRA,1972,26.770467
FRA,1973,28.316172
FRA,1974,29.760027
FRA,1975,30.117225
FRA,1976,30.736344
FRA,1977,32.177911
FRA,1978,33.831663
FRA,1979,34.864781
FRA,1980,35.437723
FRA,1981,36.265538
