LOCATION,Value
AUS,1683.0
AUT,1400.0
BEL,1481.0
CAN,1644.0
CZE,1705.0
DNK,1346.0
FIN,1531.0
FRA,1402.0
DEU,1331.7
GRC,1728.0
HUN,1660.3
ISL,1435.0
IRL,1746.0
ITA,1558.7
JPN,1598.0
KOR,1908.0
LUX,1427.0
MEX,2124.0
NLD,1399.0
NZL,1739.0
NOR,1368.7
POL,1766.0
PRT,1613.0
SVK,1572.0
ESP,1577.2
SWE,1424.0
CHE,1495.0
GBR,1367.0
USA,1767.0
CHL,1825.3
EST,1654.0
ISR,1782.5
RUS,1874.0
SVN,1514.6
OECD,1687.0
LVA,1577.0
LTU,1595.0
CRI,1913.2
BGR,1605.0
HRV,1834.0
CYP,1698.0
MLT,1827.0
ROU,1795.0
EU27,1513.0
