"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.849662,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.519841,
"AUS","GDPHRWKD","TOT","USD","A","1972",28.126987,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.707055,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.246118,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.292581,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.780255,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.745784,
"AUS","GDPHRWKD","TOT","USD","A","1978",31.002988,
"AUS","GDPHRWKD","TOT","USD","A","1979",31.162267,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.510759,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.41978,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.809425,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.708691,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.441257,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.376214,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.394656,
"AUS","GDPHRWKD","TOT","USD","A","1987",35.128817,
"AUS","GDPHRWKD","TOT","USD","A","1988",35.019444,
"AUS","GDPHRWKD","TOT","USD","A","1989",35.134833,
"AUS","GDPHRWKD","TOT","USD","A","1990",35.688405,
"AUS","GDPHRWKD","TOT","USD","A","1991",36.503378,
"AUS","GDPHRWKD","TOT","USD","A","1992",37.621648,
"AUS","GDPHRWKD","TOT","USD","A","1993",37.703136,
"AUS","GDPHRWKD","TOT","USD","A","1994",37.768518,
"AUS","GDPHRWKD","TOT","USD","A","1995",38.9007,
"AUS","GDPHRWKD","TOT","USD","A","1996",40.247089,
"AUS","GDPHRWKD","TOT","USD","A","1997",41.610448,
"AUS","GDPHRWKD","TOT","USD","A","1998",42.919568,
"AUS","GDPHRWKD","TOT","USD","A","1999",43.290004,
"AUS","GDPHRWKD","TOT","USD","A","2000",43.779461,
"AUS","GDPHRWKD","TOT","USD","A","2001",45.312444,
"AUS","GDPHRWKD","TOT","USD","A","2002",45.998551,
"AUS","GDPHRWKD","TOT","USD","A","2003",47.056871,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.902014,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.063794,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.3017,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.836256,
"AUS","GDPHRWKD","TOT","USD","A","2008",49.483852,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.055792,
"AUS","GDPHRWKD","TOT","USD","A","2010",49.867874,
"AUS","GDPHRWKD","TOT","USD","A","2011",50.454253,
"AUS","GDPHRWKD","TOT","USD","A","2012",51.67034,
"AUS","GDPHRWKD","TOT","USD","A","2013",52.549593,
"AUS","GDPHRWKD","TOT","USD","A","2014",52.781785,
"AUS","GDPHRWKD","TOT","USD","A","2015",54.106372,
"AUS","GDPHRWKD","TOT","USD","A","2016",53.959369,
"AUS","GDPHRWKD","TOT","USD","A","2017",54.568744,
"AUS","GDPHRWKD","TOT","USD","A","2018",54.536922,"E"
"AUS","GDPHRWKD","TOT","USD","A","2019",55.208255,"E"
"AUS","GDPHRWKD","TOT","USD","A","2020",55.803026,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",51.105772,
"AUT","GDPHRWKD","TOT","USD","A","1996",51.175266,
"AUT","GDPHRWKD","TOT","USD","A","1997",51.62205,
"AUT","GDPHRWKD","TOT","USD","A","1998",53.568424,
"AUT","GDPHRWKD","TOT","USD","A","1999",54.513967,
